date,sku,product_name,quantity,unit_price,unit_cost
2026-06-25,SKU001,Milk 1L,50,2400,1500
2026-07-05,SKU001,Milk 1L,50,2400,1500
2026-07-25,SKU001,Milk 1L,50,2400,1500
2026-08-05,SKU001,Milk 1L,50,2400,1500
2026-08-25,SKU001,Milk 1L,50,2400,1950
2026-09-01,SKU001,Milk 1L,40,2400,1950
2026-09-12,SKU001,Milk 1L,40,2400,1950
2026-06-15,SKU002,Premium Cookies,5,5000,3200
2026-07-10,SKU002,Premium Cookies,4,5000,3200
2026-09-01,SKU003,Orange Juice,30,1800,1100
2026-09-05,SKU003,Orange Juice,30,1800,1100
2026-09-08,SKU003,Orange Juice,30,1800,1100
2026-09-10,SKU003,Orange Juice,30,1800,1100
2026-09-12,SKU003,Orange Juice,2,1800,1100
2026-09-13,SKU003,Orange Juice,2,1800,1100
2026-09-14,SKU003,Orange Juice,2,1800,1100
2026-09-15,SKU003,Orange Juice,2,1800,1100
2026-09-16,SKU003,Orange Juice,2,1800,1100
2026-09-17,SKU003,Orange Juice,2,1800,1100
2026-09-18,SKU003,Orange Juice,2,1800,1100
